Название статьи,Ссылка на статью,Контекст статьи,Статус
Промет,https://www.kuvalda.ru/blog/articles/raznoe/promet.html,"Кувалда.ру — официальный дилер компании Промет , лидера России по производству сейфов и металлической мебели . Сегодня расскажем об ассортименте компании и о пути её основателя, который начался еще в начале 90-х. Тогда Евгений Петров начинал предпринимательскую деятельность с торговли импортными сейфами. Сегодня выручка его производств в России и Болгарии оценивается в 7.5 млрд рублей, а суммарные мощности более 6 млн изделий в год. Евгений Петров родом из центра цветной металлургии СССР, Казахстанского города Усть-Каменогорска. В 1987 году окончил Московский институт стали и сплавов (МИСиС), факультет черных металлов и продолжил обучение в целевой аспирантуре. Среди однокурсников Петрова было много ныне знаменитых предпринимателей, таких как основатель Альфа Банка, Михаил Фридман. Защитив кандидатскую диссертацию Петров занялся частными заказами и в скором времени случай определил его дальнейшую судьбу. Петров с товарищами в 1991 году выкупили по балансовой стоимости предприятие Промет, даже точно не зная чем будут заниматься. Решили что для нового офиса нужен сейф, и купили его по случайно попавшемуся на глаза объявлению.",ok
Instrumentum,https://www.kuvalda.ru/blog/articles/newinstr/instrumentum.html,"Дизайнер из Лондона Абидур Чоудхури создал концепт ручного инструмента в индустриальном стиле. инструмент ) — новый взгляд на два самых популярных в домашнем хозяйстве ручных инструмента: молоток и отвертку. Выпускник Лафборо, престижного британского технического вуза, постарался переосмыслить значение и качество инструмента для городского жителя и отойти от привычного дизайна присущего нынешним производителям. Автор долгое время хранил идею в виде зарисовок в блокноте, затем, в начале июня 2017 года опубликовал эскизы. Рисунки собрали много восторженных отзывов и тогда пришло понимание что нужно создать полноценный проект. Instrumentum — выглядит так, что сразу понимаешь его назначение, но в отличии от привычных молотков и отверток, может стать частью вашего интерьера. По замыслу автора, набор Instrumentum упаковывается в черную матовую коробку из переработанного картона с иллюстрацией содержимого. Такая упаковка больше напоминает коробку с новым смартфоном, чем привычные кейсы и ящики с инструментом. В составе набора молоток с гвоздодером , крестовая и шлицевая отвертка . Молоток состоит из двух частей: головки и ручки, которые изготовлены из высокоуглеродистой стали.",ok
Один лучше другого,https://www.kuvalda.ru/blog/articles/newinstr/odin-luchshe-drugogo.html,"Представляем подборку необычных новинок и неординарных идей в мире строительного и садового инструмента, которые были представлены в 2017 году. Сразу сделаем оговорку, инструменты можно заказать пока только за океаном, в США и Канаде, а некоторые вообще являются уникальными и изготовлены в единственном экземпляре. Начнем с безумного устройства — автоматический триммер — сучкорез для деревьев, с бензопилой в качестве режущего механизма. Его практичность и эффективность сомнительны, но согласитесь, можно долго смотреть как это странное, страшное устройство карабкается вверх по стволу дерева, срезая всё на своем пути. Это работа мастера из Канады, который реставрирует садовый и строительный инструмент. На его youtube канале Hand Tool Rescue можно посмотреть на вещи из прошлого, такие как бензиновая циркулярная пила или гвоздезабивной пистолет 1980 года. Компаний Makita выпустила первую в мире аккумуляторную гипоидную циркулярную пилу. Не торопитесь гуглить что такое «гипоидная». Эта пила похожа на обычную циркулярку . Отличается в первую очередь, гипоидной передачей, которая обеспечивает плавную и бесшумную работу двигателя, повышенная надежность и мощность.",ok
Испытательный полигон Stanley,https://www.kuvalda.ru/blog/articles/raznoe/ispytatelnyy-poligon-stanley.html,"Experience Centre Stanley Black and Decker — своего рода испытательный полигон компании, который решили разместить в невероятно колоритном месте — Объединенных Арабских Эмиратах, в Дубае. Мы были рады предоставленной возможности проверить в деле электроинструмент Stanley , благо в Experience Centre были все условия для этого. Смоделированы различные зоны строительных работ — по бетону, металлу и дереву; зона автосервиса, станция внутренних отделочных работ, столярная мастерская, стенды для работы с гипсокартоном и т.д. Для сравнения взяли несколько именитых брендов, но не будем говорить каких именно. Испытательный полигон Stanley",ok
Конференция дилеров Husqvarna 2018,https://www.kuvalda.ru/blog/articles/events/konferenciya-husqvarna-2018-v-sochi.html,"С 13 по 16 марта 2018 года в Сочи прошла ежегодная дилерская конференция Husqvarna. ООО «Хускварна» пригласила дилеров со всей страны в олимпийскую деревню в гостиничный комплекс Богатырь, чтобы показать и дать возможность протестировать новинки техники Husqvarna, McCulloch и Gardena. Мягкий климат и погода в Сочи прекрасно подходят для этих целей. На открытии конференции гостей приветствовал генеральный директор ООО «Хускварна» Юрий Санников. Перед тем как делегатов допустили к новинкам, представители компании Husqvarna подвели итоги 2017 года и приоткрыли завесу тайны по поводу планов на будущее. В этом году Кувалда.ру удостоилась награды Лучший дилер России Husqvarna Construction Products 2017, подразделение строительного оборудования Husqvarna… и диплома Лучший дилер России Husqvarna в категории садово-парковой техники. Вся выставка была разделена на несколько тематических станций. Основное внимание собравшихся было приковано к станциям с новинками садово-парковой техники, где были представлены аккумуляторные и бензиновые инструменты для ухода за газоном. Аккумуляторные газонокосилки Husqvarna LC247Li и LC347VLi имеют два аккумулятора(приобретаются отдельно) и сенсорное управление скоростью.",ok
Чем проще - тем лучше,https://www.kuvalda.ru/blog/articles/newinstr/chem-prosche---tem-luchshe.html,"Сегодня никого не удивить мультитулом (multitool) — универсальным гаджетом, сочетающим в себе изобилие инструментов для всевозможных задач. Рингтул (ringtool) — очередная попытка сделать простой многофункциональный инструмент в компактном исполнении. Термин «рингтул» был придуман создателями этого маленького помощника, компанией Reductivist из США. Означает он буквально — кольцо — инструмент. Производители этого универсального ключа не приписывают себе идею его изобретения. Они лишь взяли занятный продукт и решили довести его до совершенства с технической и дизайнерской точки зрения. Мультитул в форме металлического кольца, которое имеет девять различных инструментов-насадок: пять шестигранников размера 4,5,6,8,10 мм; наконечники torx T25 (звездочка), philips (крестовая отвертка), шлиц (плоская отвертка) и открывалка для бутылок. Рингтул весит 56 граммов и доступен для заказа в двух цветах — черном и серебристом. Оригинальный ключ от Reductivist стоит 26-28 $ в зависимости от цвета. Подобные вещи можно с легкостью найти на Aliexpress, заказать за 100 рублей комплект из 3 штук.",ok
Авторский подход,https://www.kuvalda.ru/blog/articles/raznoe/avtorskiy-podhod-k-hraneniyu-ruchnogo-instrumenta.html,"Инструментальный мир пестрит всевозможными чемоданами, боксами, сборными конструкциями из нескольких ящиков, которые устанавливаются на тележку и вмещают набор всевозможного ручного и электроинструмента. Предлагаем посмотреть на несколько самых обычных способов хранения инструмента в эксклюзивном исполнении. Сверток или как его еще называют рулон-органайзер это старый дедовский способ аккуратно организовать и транспортировать всевозможный ручной инструмент. Сегодня по прежнему актуален такой форм-фактор. Чехлы, рулоны и свертки изготавливают из различных материалов. Почему выбор материала останавливается на коже и почему она вне конкуренции? Практичность, долговечность и внешний вид таких изделий оставляет другие материалы далеко позади в попытках сравнения. Что можно хранить в свертке? Отвертки , напильники , ключи , стамески и многое другое. Но так ли оправдано применение таких свертков в мастерской?",ok
"Ловись, рыбка!",https://www.kuvalda.ru/blog/articles/events/lovis-rybka.html,"Пока одни тоскуют по теплу, перед другими морозная погода открывает безграничные возможности. Зимняя рыбалка – это впечатления и драйв, а спортивная – особенно. Это еще раз подтвердили участники XIX чемпионата России по ловле на мормышку со льда. Организаторы спортивного первенства – Федерация рыболовного спорта России и Ассоциация рыболовного туризма и рыбалки. В этом году соревнования проходили с 8 по 12 февраля, а принял их, по традиции, Воронеж. Кувалда.ру поддержала спортивный азарт и стала официальным партнером главной зимней рыбалки-2018. Рассказываем, как поймать удачу на мормышку и чем аккумуляторные шуруповерты помогают спортсменам-рыболовам. Чемпионат по ловле на мормышку со льда – своего рода проверка на прочность. Здесь соревнуются только профессионалы и, в отличие от любителей, их возможности ограничены. Никаких рыболовных апгрейдов – только стандартная удочка с одной мормышкой.",ok
Точно в цель,https://www.kuvalda.ru/blog/articles/zolotye_ruky/tochno-v-cel.html,"Андрей Федотов прошел путь от профессионального бильярдиста до руководителя столярного производства в городе Королев. В копилке мастерской «ТВОЙ ЦЕХЪ» — проекты с ведущими московскими дизайнерами, публикация в Elle Decoration и бесконечные творческие эксперименты. К деревообработке у Андрея интерес далеко не спортивный: кадры и оборудование он подбирал кропотливо и со знанием дела. Узнали, что помогло мастерской дать фору конкурентам, как устроено производство премиальной мебели и какие проекты для столярной мастерской — самые интересные. Андрей признается, что в мебельную индустрию его привел именно интерес к бильярду. «Вместе с партнером запустили небольшой цех, производили оснащение для бильярдных комнат, — рассказывает герой. — Работали в Электростали, а позже переехали поближе к первопрестольной — в Королев». В космической столице Андрей скооперировался с гуру бильярдных дел, разработчиком специальных столов на металлическом каркасе — Александром Манюгиным. Мастер раскрыл молодому коллеге секреты ремесла, но уже очень скоро Андрей решил развивать другое направление — мебельное. «Я решил создать сфокусированный на заказной мебели бренд, так как этот рынок более обширный и предоставляет больше возможностей для реализации интересных идей.",ok
Вернуться к корням,https://www.kuvalda.ru/blog/articles/zolotye_ruky/vernutsya-k-kornyam.html,"Дмитрий и Кирилл Никиташины основали в Подольске мастерскую , которая прочно связала отца с сыном, а современные столярные тренды — с классикой ремесла. Сегодня Кирилл говорит, что именно столярка помогла найти правильную дорогу в жизни, уберегла от ошибок и познакомила с правильными людьми. Узнали, как пройти путь от хобби до серьезного производства и спросили, какие изделия у мастеров в топе продаж. Кирилл Никиташин мечтал построить карьеру в логистике, но судьба распорядилась по-своему. Парень пробовал себя в разных сферах, уезжал из Подольска, а важное оказалось совсем рядом. «Мои родители в разводе, и я долгое время не общался с отцом, — рассказывает герой. — Он профессиональный резчик по дереву, всегда мечтал открыть свою столярку. Когда мы возобновили отношения, у него уже была своя, небольшая мастерская. Я решил помочь — и общее дело нас здорово сплотило». Вместе отец и сын Никиташины развили домашнюю мастерскую до солидного производства.",ok
Инструментальный ансамбль,https://www.kuvalda.ru/blog/articles/zolotye_ruky/instrumentalnyy-ansambl.html,"Никита Баулин мог достичь высот в мире художественной резьбы или столярного дела, но он выбрал другую историю — инструментальную. Однажды мастер не нашел подходящего инструмента для выполнения сложных орнаментов и решил изготовить его сам. Сегодня мастерская Баулиных стала делом, объединяющим всю семью. Рассказываем, как о ремесленниках из алтайской глубинки узнали по всей России — и не только. Никита вырос в Новосибирске, но переезд в небольшое село под Бийском открыл для него целый спектр новых возможностей. Здесь, в Воеводском, живет уже шестое поколение Баулиных и то, что именно здесь удалось создать семейную мастерскую, Никита считает символичным. «Любовь к ручному труду мне привил отец, — говорит герой. — Он всегда поддерживал мои начинания, именно к нему я обратился за помощью в развитии нашей истории с ручным инструментом ». Мастер признается, что дорога к своему делу была длинной и витиеватой. Первая мастерская, которую Никита открыл в Новосибирске — столярная.",ok
Гусельных дел мастер,https://www.kuvalda.ru/blog/articles/zolotye_ruky/guselnyh-del-master.html,"Артем Колесников из той категории ремесленников, кого называют мастерами-русофилами. Он не только следует крепким русским традициям, но и приобщает других к старинному народному творчеству. Много лет назад парень услышал дивный гусельный перезвон, и с тех пер этот звонкий мотив для него стал судьбоносным. Артем — основатель мастерской с позитивным названием «Играй-наяривай» . Впрочем, и сами изделия, которые здесь создают — с таким же, задорным настроением и уникальной внешностью. Узнали у мастера, какие виды ремесла переплетаются в гусельном деле, кто заказывает исконно русские инструменты и кто вдохновляет мастера на их создание. Первая встреча с гуслями — в клубе русского рукопашного боя, а продолжение знакомства — в деревне Пушкино. Сюда, в тверскую глубинку, Артема пригласил знакомый мастер и единомышленник Сергей Горчаков. «В его гусельной мастерской я получил первый опыт создания старинного инструмента, — рассказывает герой. — Прикоснулся к таинству ремесла и понял, что этому делу готов посвятить свою жизнь».",ok
Пятерка по труду,https://www.kuvalda.ru/blog/articles/zolotye_ruky/pyaterka-po-trudu.html,"Однажды Андрей Казанцев решил создать интерьерную полку, но не нашел в родном Красноярске ни одной открытой столярной площадки. Молодой перспективный маркетолог эту ситуацию повернул в свою пользу. Уже очень скоро он основал первый в городе коворкинг «Уроки труда» и школу, где учат работать руками и взрослых, и детей. Узнали, как организован образовательный и творческий процесс, какому ремеслу обучают самых юных студентов и какой инструмент помогает постигать секреты профессий. Красноярский столярный коворкинг — успешный коммерческий проект и территория вдохновения. Андрей признается, что образование маркетолога помогло ему рассмотреть в этой идее отличный потенциал: «Я сразу понял, что дело пойдет. Начинал почти с нуля — инициировал создание столярного класса в одном из городских техникумов». Здесь герой получил прочную базу знаний и решил двигаться дальше. Путь к своему делу был неблизким, но Андрей точно знал: он обязательно приведет к успеху. В копилке опыта — выездные мастер-классы, сотрудничество с молодежным центром и местными мастерскими, аренда офисного помещения.",ok
Ступени мастерства,https://www.kuvalda.ru/blog/articles/zolotye_ruky/stupeni-masterstva.html,"Лестница успеха у каждого своя. Столяр из Минска Егор Курьянчик решил, что вместе с ним по ступеням мастерства непременно должны идти коллеги-единомышленники. Парень продолжает семейное дело, вместе с отцом развивает мастерскую K-wood , а параллельно с ней – сообщество «Альтернативная мебель», которое объединило маэстро столярного дела и представителей новой волны в едином творческом порыве. Первый одноименный конкурс, проведенный сообществом K-Wood , привлек внимание десятков талантливых мастеров и мировых экспертов в области деревообработки. Узнали, как в Минске создают необычные лестницы и формируют новые традиции в международном столярном сообществе. Глава семьи Виктор Курьянчик построил блестящую карьеру топ-менеджера в одной из крупных столичных компаний, но в свободное время строгому костюму предпочитал столярную робу. «В один прекрасный момент отец понял, что работа на других не приносит ему удовольствия, — вспоминает Егор. – Тогда наша домашняя мастерская и стала тем местом, где сбываются мечты». Мастеру удалось не только совместить работу и хобби, но и заинтересовать искусством древоделания своего сына. Вместе Виктор и Егор развили домашнюю мастерскую до прогрессивного столярного производства.",ok
Сохранить и приумножить,https://www.kuvalda.ru/blog/articles/zolotye_ruky/sohranit-i-priumnozhit.html,"Петербуржец Антон Стефановский восстанавливает старинные деревянные предметы и создает новые – в уникальном авторском осмыслении. У его дела, словно у редкого камня – множество граней. Реставратор и резчик по дереву, художник и скульптор, он умело совмещает теорию и практику, совершенствует свое мастерство и передает ученикам накопленные знания. Узнали, какой инструмент помогает в воплощении художественного замысла, какой предмет герой считает апогеем искусства и почему интуиция для мастера важна не меньше, чем умение и талант. Антон Стефановский освоил целый калейдоскоп творческих профессий, в его арсенале – опыт и знания в графике, живописи, скульптуре. В реставрационный лицей поступил ради интереса. «Я думал, что это ремесло будет не лишним, но и предположить не мог, что оно станет делом моей жизни», — признается герой. В те годы лицей на улице Морской пехоты был местом сосредоточения талантливых мастеров – многих привлекала возможность иметь свою творческую площадку, постоянные заказы и подмастерий-студентов. «Это была крепкая ремесленная школа с дореволюционными традициями, многие преподаватели – выходцы из Царскосельских реставрационных мастерских, — продолжает Антон. – Уроки от таких преподавателей – на вес золота».",ok
"И смех, и свет",https://www.kuvalda.ru/blog/articles/zolotye_ruky/i-smeh-i-svet.html,"Мастерская ABfurniture — это дуэт Григория Бражникова и Павла Астафьева, живущих в разных столицах, Москве и Петербурге. Дистанционно, но вместе они делают по-скандинавски минималистичные лампы — из слэбов, с неоновыми трубками или те, что включаются прям с айфона. Поговорили с петербургским представителем тандема, Григорием, и узнали, как он относится к своему напарнику, какую роль в производстве сыграли «Тиндер» и женщины и как ребята делают то, что не могут другие. Публикуем рассказ от первого лица – смешной, эгоистично-скандальный и при всем этом — полезный. Я всю жизнь, делаю что-то руками и могу сделать вообще все. Я обожаю дарить подарки, которые сам сделал, и у кучи людей уже стоят мои лампы. Это идеальный подарок — красиво и светит. В какой-то момент, я понял, что не хочу заниматься сайтами и их продвижением, а хочу делать лампы. Я был давно увлечён баухаузом и скандинавским минимализмом. Меня с детства вдохновляли работы Ле Корбюзье, особенно его Дом Центросоюза в Москве 1928 года.",ok
Двери к знаниям,https://www.kuvalda.ru/blog/articles/zolotye_ruky/dveri-k-znaniyam.html,"Ларион Макаренко прошел путь от священнослужителя до профессионала в сфере монтажа дверей. О житии Патриарха дверей всея Руси (так себя иронично называет сам герой) Кувалда.ру уже рассказывала . Сегодня в истории мастера – новая страница и новые витки дороги: от Оренбурга – до первопрестольной и от создателя первого узкоспециализированного ютуб-канала – до основателя школы профессий. Весной в Зеленограде Ларион откроет академию «Да Винчи» . Своим ученикам мастер раскроет самые интересные фишки – от выбора фурнитуры до психологии общения с клиентом. Монтаж дверей для Лариона – больше чем работа, в этой сфере мастер готов развиваться и профессионально, и творчески. Правда, такой профессии в госреестре нет до сих пор. «Учебные заведения выпускают специалистов-плотников, которые, в том числе, выполняют установку дверей, — рассказывает основатель академии. – К сожалению, подход к обучению давным-давно устарел, а дверной рынок развивается такими стремительными темпами, что мастер непременно должен быть в тренде». Академия «Да Винчи» — своеобразное продолжение ютуб-канала «Я – мастер» , который для тысяч установщиков стал самой обширной энциклопедией профессиональных знаний.",ok
Разделяй и властвуй,https://www.kuvalda.ru/blog/articles/zolotye_ruky/razdelyay-i-vlastvuy.html,"Столичная мастерская «Ручидэль» – настоящая лаборатория столярных экспериментов. Здесь производят авторские ширмы и перегородки для ресторанов и гостиниц, офисных и частных пространств. Ширмы, созданные основателем компании Сергеем Аванесовым, можно увидеть и в Лувре, и в эфире многочисленных телешоу о ремонте. Впрочем, и сам столяр – человек медийный. Сергея приглашают в телепроекты, на всевозможные выставки, а его мастерская регулярно превращается то в съемочную площадку, то в стартовую – для обучения молодежи. Узнали, почему интерьерные ширмы – это дорого, и спросили, как заточить столярное производство под решение узкопрофильных задач. «Ручидэль» — совместное детище Сергея Аванесова и его супруги Натальи. Семейную династию столяров герой продолжил не сразу, хотя первое свое изделие, дубовую кровать для родителей, смастерил в девять лет. Сергей пробовал себя ресторанном бизнесе, туризме и других сферах, но все дороги вели в Рим – то есть, в столярку. «Было время, когда я полностью разочаровался в бизнесе и стоял на распутье, — признается мастер.",ok
Столярный модерн,https://www.kuvalda.ru/blog/articles/zolotye_ruky/stolyarnyy-modern.html,"Мастерская Woodleggers работает с деревьями, спиленными в петербургских парках, создает кресла по мотивам испанской архитектуры и собирает главные награды престижных конкурсов. Для ее основателя Никиты Федорова столярное дело – не только работа и хобби, но и память об отце, которому когда-то дал обещание не изменять любимой профессии. Дорога к своей мастерской для Никиты напоминала извилистый лабиринт. Герой попробовал себя в разных сферах, но именно в столярке он нашел свое призвание. Хотя начиналось все довольно прозаично: свой первый столярный опыт Никита приобрел в мастерской отца, чтобы помочь семье в кризисное время. «Мне тогда было всего тринадцать, — вспоминает герой. – Выполнял на производстве рутинные задачи и завороженно следил за тем, как работают профи». Первый серьезный проект – в неполных шестнадцать. «Я участвовал в создании мебели для крупного ресторана, — рассказывает Никита. – Работа заняла почти год.",ok
Сварога внуки,https://www.kuvalda.ru/blog/articles/zolotye_ruky/svaroga-vnuki.html,"Сергей Яромил и Виталий Сысо – мастера-русофилы. Живой интерес к исконно русским традициям крепко-накрепко связал двух людей, разных по характеру и профессии. В старинном городе Киржач Сергей и Виталий основали мастерскую «Сварожич» , которая стала центром притяжения для коллекционеров, исторических реконструкторов и ценителей старинного оружия. Узнали, как и чем живет мастерская, чем полезно общение с археологами и историками и что отличает добротное оружие – от ширпотреба. Герои рассказывают, что познакомились по воле случая, но все, что происходило дальше – совсем не случайно. Виталий многие годы работал кузнецом на заводе тяжелого машиностроения, позже – устроился к частникам. Сергей заправлял дизайнерской и технологической частью крупного мебельного цеха, создавал мебель премиум-класса. Однажды Виталий получил заказ на оковку мебели от того самого цеха. Здесь и состоялось судьбоносное знакомство. Мастера сразу нашли общий язык, и столяр предложил единомышленнику-кузнецу открыть общее дело.",ok
Три тенора,https://www.kuvalda.ru/blog/articles/zolotye_ruky/tri-tenora.html,"25 лет назад Александр Воробьев переквалифицировался в столяры, создал мебельную мастерскую имени себя и выполнил первый заказ – посудную горку из иностранного каталога, которую нереально было достать в России. Сейчас ставшее фамильным дело уже подхватили его сыновья – и, судя по его словам, нисколько не отстают. Вместе они развивают идею классической мебели и по-прежнему перенимают заграничный опыт – теперь уже не со страниц журналов, а лично на выставках в Голландии и Монако. Александр Воробьев получил художественное образование, но, как и многие другие герои наших материалов, всегда хотел поработать себя в столярке. Такая возможность представилась ему в 1992 году: тогда первый заказчик принес Александру и его приятелю немецкий каталог и попросил по картинке воссоздать посудный шкаф из массива дуба. С задачей мастер справился, а после – переквалифицировался в столяры и сколотил целую мастерскую, уже ставшую семейной. Старший сын Александра, Арсений, около пяти лет назад, разумеется, примкнул к делу отца: молодой специалист отучился в Строгановке по программе художественной реставрации мебели и сейчас продолжает обучение в аспирантуре. Младший сын Воробьева учится на резчика в художественном колледже и тоже постепенно вливается в рабочий процесс. В общем, производство, начинавшееся более двух десятков лет назад, сегодня точно можно назвать семейным. Мастерская Александра Воробьева изготавливает как современную мебель, так и классические варианты – по всем столярным законам.",ok
Море возможностей,https://www.kuvalda.ru/blog/articles/zolotye_ruky/more-vozmozhnostey.html,"Биография мастерской Solarts – это одна большая и невероятная история о море. Начиная со службы на флоте, куда добровольцем ушел ее основатель Алексей Маслов и заканчивая архитектурным проектом на острове Итуруп. А еще Solarts – это синтез живописи, видеографии и промышленного дизайна, сумасшедшие идеи антистрессовых светильников, табуреты из риса и мастер-классы в «Квартирном вопросе». Мы поговорили с Алексеем о том, как родилась целая творческая команда, которая топит за функциональный промышленный дизайн. Датой рождения дизайн-студии Solarts Алексей считает 2013 год. Тем не менее, история мастерской началась раньше – с общих парт и коридоров в Строгановке и кооператорских способностей Маслова. По его словам, ему с детства нравилось знакомить людей друг с другом. В институте это «хобби» переросло в осознанную идею создать креативную команду. В середине третьего курса обучения на кафедре промышленного дизайна Алексей добровольно пошел во флот. Примерно в это же время по этому пути пошел его друг из Строгановки Кеша.",ok
